1	25	12	Maverick VIÑALES	SPA	Monster Energy Yamaha MotoGP	Yamaha	167.1	42'28.663
2	20	5	Johann ZARCO	FRA	Pramac Racing	Ducati	167.1	+1.092
3	16	63	Francesco BAGNAIA	ITA	Ducati Lenovo Team	Ducati	167.1	+1.129
4	13	36	Joan MIR	SPA	Team SUZUKI ECSTAR	Suzuki	167.1	+1.222
5	11	20	Fabio QUARTARARO	FRA	Monster Energy Yamaha MotoGP	Yamaha	166.9	+3.030
6	10	42	Alex RINS	SPA	Team SUZUKI ECSTAR	Suzuki	166.9	+3.357
7	9	41	Aleix ESPARGARO	SPA	Aprilia Racing Team Gresini	Aprilia	166.7	+5.934
8	8	44	Pol ESPARGARO	SPA	Repsol Honda Team	Honda	166.7	+5.990
9	7	43	Jack MILLER	AUS	Ducati Lenovo Team	Ducati	166.7	+7.058
10	6	23	Enea BASTIANINI	ITA	Esponsorama Racing	Ducati	166.5	+9.288
11	5	6	Stefan BRADL	GER	Repsol Honda Team	Honda	166.5	+10.299
12	4	46	Valentino ROSSI	ITA	Petronas Yamaha SRT	Yamaha	166.4	+10.742
13	3	88	Miguel OLIVEIRA	POR	Red Bull KTM Factory Racing	KTM	166.4	+11.457
14	2	33	Brad BINDER	RSA	Red Bull KTM Factory Racing	KTM	166.2	+14.100
15	1	89	Jorge MARTIN	SPA	Pramac Racing	Ducati	166.1	+16.422
16		10	Luca MARINI	ITA	SKY VR46 Esponsorama	Ducati	165.8	+20.916
17		27	Iker LECUONA	SPA	Tech 3 KTM Factory Racing	KTM	165.8	+21.026
18		21	Franco MORBIDELLI	ITA	Petronas Yamaha SRT	Yamaha	165.6	+23.892
19		32	Lorenzo SAVADORI	ITA	Aprilia Racing Team Gresini	Aprilia	164.1	+46.346
